Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Symbiont-Induced Defense-Related Programmed Cell Death -> Biodomain: Apoptosis, Immune Response, Synapse, Proteostasis, Oxidative Stress
GO Term: Estrogen Response Element Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Rna Strand-Exchange Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Epigenetic, Autophagy
GO Term: Endosomal Vesicle Fusion -> Biodomain: Endolysosome, Synapse, Autophagy, Proteostasis, Oxidative Stress
GO Term: Dna Polymerase Activity -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Proteostasis, Synapse
GO Term: 5'-3' Rna Polymerase Activity -> Biodomain: Synapse, RNA Spliceosome, Proteostasis, Epigenetic, Autophagy
GO Term: Stress Granule Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Ric1-Rgp1 Guanyl-Nucleotide Exchange Factor Complex -> Biodomain: Endolysosome, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Protein Localization To Golgi Apparatus -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Cenp-A Containing Chromatin Assembly -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Establishment Of Sister Chromatid Cohesion -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Synapse
GO Term: Establishment Of Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Synapse, DNA Repair
GO Term: Maintenance Of Mitotic Sister Chromatid Cohesion -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Synapse, DNA Repair
GO Term: Establishment Of Meiotic Sister Chromatid Cohesion -> Biodomain: Synapse, Proteostasis, Apoptosis, RNA Spliceosome, Epigenetic
GO Term: Response To Cytokine -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Vcp-Npl4-Ufd1 Aaa Atpase Complex -> Biodomain: Proteostasis, Synapse, Apoptosis, Autophagy, RNA Spliceosome
GO Term: Erythrocyte Homeostasis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Regulation Of Tissue Remodeling -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Tissue Remodeling -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Erythrocyte Clearance -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Homotypic Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Negative Regulation Of Homotypic Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Homotypic Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Heterotypic Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Negative Regulation Of Heterotypic Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Positive Regulation Of Heterotypic Cell-Cell Adhesion -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Myd88-Dependent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Myd88-Independent Toll-Like Receptor Signaling Pathway -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Toll-Like Receptor 2 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Apoptosis, Synapse, Oxidative Stress
GO Term: Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Toll-Like Receptor 3 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Toll-Like Receptor 4 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Toll-Like Receptor 5 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 5 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Toll-Like Receptor 6 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 6 Signaling Pathway -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Synapse, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Toll-Like Receptor 7 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Toll-Like Receptor 8 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Synapse, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Toll-Like Receptor 8 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Synapse, Apoptosis, Proteostasis
GO Term: Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Toll-Like Receptor 9 Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, RNA Spliceosome
GO Term: Apolipoprotein Binding -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Apolipoprotein A-I Binding -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Apolipoprotein A-I Receptor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Lipid Metabolism
GO Term: Very-Low-Density Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Apolipoprotein Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: Apolipoprotein A-I Receptor Binding -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Triglyceride Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Lipid Metabolism, Apoptosis
GO Term: Cellular Response To Amino Acid Starvation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Activation Of Protein Kinase A Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Oleic Acid -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Glycolipid Floppase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Glycolipid Translocation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Lipid Translocation -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Amyloid-Beta Formation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Gtp-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Quinolinate Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Protein Hexamerization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Carbohydrate Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism
GO Term: Monoatomic Ion Transmembrane Transport -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Cellular Response To Zinc Ion Starvation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Trna Thio-Modification -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Oxidative Stress, Apoptosis
GO Term: Ethanolamine Transmembrane Transporter Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Ethanolamine Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Enkephalin Processing -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Islet Amyloid Polypeptide Processing -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Gpi Anchor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Protein Kinase A Catalytic Subunit Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Protein Kinase A Regulatory Subunit Binding -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Macrophage Fusion -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Macrophage Fusion -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Negative Regulation Of Syncytium Formation By Plasma Membrane Fusion -> Biodomain: Synapse, Proteostasis, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Oxidative Stress
GO Term: Negative Regulation Of Transcription Elongation By Rna Polymerase Ii -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Epigenetic, Autophagy
GO Term: Mitochondrial Dna-Directed Rna Polymerase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Mitochondrial Transcription Factor Activity -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Snorna Splicing -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Oxidative Stress
GO Term: Regulation Of Amide Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Autophagy, Epigenetic
GO Term: Positive Regulation Of Amide Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Regulation Of Urea Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Negative Regulation Of Gtpase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii, Type I -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Phosphatidylinositol 3-Kinase Complex, Class Iii, Type Ii -> Biodomain: Synapse, Autophagy, Proteostasis, Oxidative Stress, Epigenetic
GO Term: Atg12-Atg5-Atg16 Complex -> Biodomain: Autophagy, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Kynurenic Acid Biosynthetic Process -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Response To Monosaccharide -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Disaccharide -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Diol Metabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Negative Regulation Of Arp2/3 Complex-Mediated Actin Nucleation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Nicotinate Riboside Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Cell Junction Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Cell Junction Organization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Cell Junction Maintenance -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Adherens Junction Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Adherens Junction Assembly -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Adherens Junction Maintenance -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Rna Folding -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy
GO Term: Short-Chain Carboxylesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, RNA Spliceosome
GO Term: Response To Type I Interferon -> Biodomain: Immune Response, Synapse, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Response To Type Ii Interferon -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Response To Type Iii Interferon -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Type Iii Interferon Production -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Synapse
GO Term: Negative Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Synapse, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Type Iii Interferon Production -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Synapse, Proteostasis
GO Term: Type Iii Interferon Receptor Activity -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Glial Cell Apoptotic Process -> Biodomain: Apoptosis, Synapse, Oxidative Stress, Proteostasis, Immune Response
GO Term: Negative Regulation Of Glial Cell Apoptotic Process -> Biodomain: Synapse, Apoptosis, Proteostasis, Immune Response, Oxidative Stress
GO Term: Mrna 5'-Diphosphatase Activity -> Biodomain: RNA Spliceosome, Synapse, Proteostasis, Oxidative Stress, Epigenetic
GO Term: 'De Novo' Nad+ Biosynthetic Process From L-Tryptophan -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Nad+ Biosynthetic Process Via The Salvage Pathway -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Plasma Lipoprotein Particle -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Mature Chylomicron -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Chylomicron Remnant -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Very-Low-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Oxidative Stress, Synapse, Proteostasis, Apoptosis
GO Term: Low-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Intermediate-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Discoidal High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Spherical High-Density Lipoprotein Particle -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Protein-Containing Complex Remodeling -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Apoptosis, Oxidative Stress
GO Term: Plasma Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Triglyceride-Rich Lipoprotein Particle Remodeling -> Biodomain: Lipid Metabolism, Synapse, Oxidative Stress, Proteostasis, Apoptosis
