Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Dinitrosyl-Iron Complex Binding -> Biodomain: Oxidative Stress, Proteostasis, APP Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Nitric Oxide Storage -> Biodomain: Oxidative Stress, Immune Response, Proteostasis, Autophagy, APP Metabolism
GO Term: Hepatic Stellate Cell Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Intraciliary Transport Involved In Cilium Assembly -> Biodomain: Synapse, Proteostasis, Autophagy, Immune Response, Tau Homeostasis
GO Term: Cd4-Positive, Alpha-Beta T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Synapse, Structural Stabilization, Oxidative Stress, Immune Response
GO Term: Myelin Sheath Adaxonal Region -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Protein Localization To Myelin Sheath Abaxonal Region -> Biodomain: Myelination, Synapse, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Regulation Of Lysosomal Lumen Ph -> Biodomain: Endolysosome, Autophagy, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Lysosomal Lumen Ph Elevation -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, APP Metabolism, Autophagy
GO Term: B Cell Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Cardiolipin Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Chemokine (C-C Motif) Ligand 19 Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Chemokine (C-C Motif) Ligand 21 Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Synapse, Apoptosis
GO Term: Mesangial Cell-Matrix Adhesion -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Endolysosome, APP Metabolism
GO Term: Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Endothelial Cell Chemotaxis To Fibroblast Growth Factor -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Ribonucleoprotein Granule -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Autophagy
GO Term: Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Interleukin-13-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Immune Response, Oxidative Stress, APP Metabolism, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Insulin Secretion Involved In Cellular Response To Glucose Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Lipid Metabolism
GO Term: Mature Natural Killer Cell Chemotaxis -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Cd4-Positive, Alpha-Beta T Cell Costimulation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Synapse, Oxidative Stress
GO Term: Cell Migration Involved In Kidney Development -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Cell Migration Involved In Metanephros Development -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Platelet-Derived Growth Factor Receptor-Alpha Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Positive Regulation Of Metanephric Mesenchymal Cell Migration By Platelet-Derived Growth Factor Receptor-Beta Signaling Pathway -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Tau Homeostasis
GO Term: Negative Regulation Of Mitochondrial Membrane Permeability -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, APP Metabolism
GO Term: 2-Alkenal Reductase (Nadph) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Ureter Maturation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Deubiquitinase Activator Activity -> Biodomain: Proteostasis, Apoptosis, Tau Homeostasis, Endolysosome, Immune Response
GO Term: Adrenal Cortex Development -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Adrenal Cortex Formation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Egg Coat Formation -> Biodomain: Unknown, Immune Response, Structural Stabilization, Proteostasis, Synapse
GO Term: Structural Constituent Of Egg Coat -> Biodomain: Proteostasis, Tau Homeostasis, Synapse, Apoptosis, Oxidative Stress
GO Term: Egg Coat -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Immune Response, Apoptosis
GO Term: Regulation Of Urine Volume -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Urine Volume -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Urine Volume -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Proteostasis, APP Metabolism
GO Term: Renal Sodium Excretion -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Regulation Of Renal Sodium Excretion -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, APP Metabolism, Autophagy
GO Term: Negative Regulation Of Renal Sodium Excretion -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Renal Sodium Excretion -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Modulation Of Process Of Another Organism -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Gene Conversion -> Biodomain: DNA Repair, APP Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Homologous Recombination -> Biodomain: DNA Repair, Apoptosis, Tau Homeostasis, Immune Response, Oxidative Stress
GO Term: Growing Cell Tip -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: New Growing Cell Tip -> Biodomain: Synapse, Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress
GO Term: Cloaca Development -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Photoreceptor Cell Outer Segment Organization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis
GO Term: Oviduct Epithelium Development -> Biodomain: Immune Response, Structural Stabilization, Oxidative Stress, Autophagy, APP Metabolism
GO Term: Uterine Epithelium Development -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Nephric Duct Elongation -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Endolysosome, Immune Response
GO Term: Krueppel-Associated Box Domain Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Tau Homeostasis, APP Metabolism
GO Term: Chromosome Passenger Complex Localization To Spindle Midzone -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Tau Homeostasis, DNA Repair
GO Term: Eosinophil Fate Commitment -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Megakaryocyte Development -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Seh1-Associated Complex -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Site Of Double-Strand Break -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Proteostasis, Tau Homeostasis
GO Term: Ditp Catabolic Process -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Immune Response, Autophagy
GO Term: Response To Potassium Ion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, APP Metabolism
GO Term: Cellular Response To Potassium Ion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, APP Metabolism
GO Term: Alphav-Beta3 Integrin-Pkcalpha Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Alphav-Beta3 Integrin-Igf-1-Igf1R Complex -> Biodomain: Synapse, Immune Response, APP Metabolism, Oxidative Stress, Proteostasis
GO Term: Alphav-Beta3 Integrin-Hmgb1 Complex -> Biodomain: Synapse, Immune Response, Proteostasis, Oxidative Stress, APP Metabolism
GO Term: Ciliary Transition Zone -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Ditp Diphosphatase Activity -> Biodomain: Proteostasis, Oxidative Stress, APP Metabolism, Tau Homeostasis, Autophagy
GO Term: Protein K11-Linked Deubiquitination -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Nucleotide-Binding Domain, Leucine Rich Repeat Containing Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Tau Homeostasis
GO Term: Lactate Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, APP Metabolism, Autophagy
GO Term: Death Effector Domain Binding -> Biodomain: Apoptosis, Immune Response, Proteostasis, Tau Homeostasis, Synapse
GO Term: Nail Development -> Biodomain: Proteostasis, Oxidative Stress, Immune Response, Apoptosis, Endolysosome
GO Term: Plasma Membrane Lactate Transport -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, APP Metabolism, Proteostasis
GO Term: Embryonic Nail Plate Morphogenesis -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, Tau Homeostasis
GO Term: Amacrine Cell Differentiation -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Enteroendocrine Cell Differentiation -> Biodomain: Immune Response, Oxidative Stress, Autophagy, APP Metabolism, Mitochondrial Metabolism
GO Term: Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Parathyroid Hormone Secretion -> Biodomain: Oxidative Stress, Immune Response, APP Metabolism, Autophagy, Proteostasis
GO Term: Response To Isolation Stress -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Response To Immobilization Stress -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Synapse
GO Term: Aorta Development -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Ascending Aorta Development -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Descending Aorta Development -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Dorsal Aorta Development -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Aorta Morphogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Ascending Aorta Morphogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Dorsal Aorta Morphogenesis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Skeletal Muscle Cell Differentiation -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Immune Response
GO Term: Desmosome Disassembly -> Biodomain: Proteostasis, Synapse, Immune Response, Apoptosis, Endolysosome
GO Term: Foramen Ovale Closure -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, APP Metabolism
GO Term: Mrna 3'-Utr Au-Rich Region Binding -> Biodomain: RNA Spliceosome, APP Metabolism, Proteostasis, Oxidative Stress, Immune Response
GO Term: Rna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis, APP Metabolism
GO Term: Rrna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Aldosterone Secretion -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Corticosterone Secretion -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Mitochondrial Ncrna Surveillance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Mitochondrial Mrna Surveillance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, APP Metabolism
GO Term: Response To Interleukin-13 -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Tau Homeostasis, APP Metabolism
GO Term: Cellular Response To Interleukin-13 -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, APP Metabolism, Tau Homeostasis
GO Term: Copi-Coated Vesicle Budding -> Biodomain: Endolysosome, Proteostasis, APP Metabolism, Autophagy, Synapse
GO Term: Cardiolipin Acyl-Chain Remodeling -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Cellular Response To Topologically Incorrect Protein -> Biodomain: Proteostasis, Autophagy, Tau Homeostasis, Oxidative Stress, APP Metabolism
GO Term: Peptidyl-Threonine Dephosphorylation -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Oxidative Stress, Synapse
GO Term: Aggrephagy -> Biodomain: Autophagy, Proteostasis, Synapse, Oxidative Stress, Tau Homeostasis
GO Term: Transcription Factor Ap-1 Complex -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Histone H2Axs139 Kinase Activity -> Biodomain: DNA Repair, Epigenetic, Autophagy, Proteostasis, Immune Response
GO Term: Cellular Response To Trichostatin A -> Biodomain: Proteostasis, Epigenetic, Autophagy, Immune Response, DNA Repair
GO Term: Senescence-Associated Heterochromatin Focus -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Immune Response, Tau Homeostasis
GO Term: Endodermal Cell Differentiation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Chondrocyte Proliferation -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Endolysosome
GO Term: Tendon Development -> Biodomain: Unknown, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse
GO Term: Tendon Cell Differentiation -> Biodomain: Proteostasis, Synapse, Oxidative Stress, Apoptosis, APP Metabolism
GO Term: Tendon Formation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Deltoid Tuberosity Development -> Biodomain: Immune Response, Structural Stabilization, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Response To Muscle Stretch -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Tau Homeostasis, APP Metabolism
GO Term: Detection Of Muscle Stretch -> Biodomain: Synapse, Proteostasis, Immune Response, Apoptosis, Oxidative Stress
GO Term: Tetrahydrofolate Interconversion -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, APP Metabolism, Autophagy
GO Term: Pre-Mrna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress
GO Term: Gaf Domain Binding -> Biodomain: Synapse, Proteostasis, APP Metabolism, Oxidative Stress, Tau Homeostasis
GO Term: Response To Macrophage Colony-Stimulating Factor -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Tau Homeostasis
GO Term: Cellular Response To Macrophage Colony-Stimulating Factor Stimulus -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Synapse
GO Term: Protein-Glutamine N-Methyltransferase Activity -> Biodomain: Proteostasis, Tau Homeostasis, APP Metabolism, Oxidative Stress, Autophagy
GO Term: Protein Localization To Endosome -> Biodomain: Endolysosome, APP Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellular Response To Interleukin-3 -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
GO Term: Response To Erythropoietin -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Erythropoietin -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Endolysosome
