Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
GO Term: Mitochondrial Genome Maintenance -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, Unknown
GO Term: Negative Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, Unknown
GO Term: Positive Regulation Of Release Of Sequestered Calcium Ion Into Cytosol -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, Unknown
GO Term: Regulation Of Sequestering Of Calcium Ion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Negative Regulation Of Sequestering Of Calcium Ion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, Unknown
GO Term: Positive Regulation Of Sequestering Of Calcium Ion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Calcium Homeostasis, Unknown
GO Term: Cell Tip -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Nad Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Mitochondrial Metabolism
GO Term: Protein Homotetramerization -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Protein Heterotetramerization -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Protein Heterooligomerization -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Nuclear Pore Complex Assembly -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Establishment Of Spindle Localization -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Establishment Of Spindle Orientation -> Biodomain: Unknown, Cell Cycle, Proteostasis, Apoptosis, Synapse
GO Term: Establishment Of Meiotic Spindle Localization -> Biodomain: Unknown, Cell Cycle, Synapse, Apoptosis, Proteostasis
GO Term: Establishment Of Meiotic Spindle Orientation -> Biodomain: Unknown, Cell Cycle, Apoptosis, Structural Stabilization, Synapse
GO Term: Centrosome Duplication -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Cell Cycle
GO Term: Centrosome Separation -> Biodomain: Cell Cycle, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Cell Division -> Biodomain: Cell Cycle, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Regulation Of Cell Division -> Biodomain: Cell Cycle, Unknown, Apoptosis, Synapse, Proteostasis
GO Term: Establishment Of Chromosome Localization -> Biodomain: Unknown, Synapse, Proteostasis, Epigenetic, DNA Repair
GO Term: Chromosome Separation -> Biodomain: Cell Cycle, Unknown, Apoptosis, Synapse, Proteostasis
GO Term: Mitotic Sister Chromatid Separation -> Biodomain: Unknown, Cell Cycle, Apoptosis, Proteostasis, Synapse
GO Term: Meiotic Chromosome Separation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Male Meiosis Chromosome Separation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Female Meiosis Chromosome Separation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Metaphase Chromosome Alignment -> Biodomain: Cell Cycle, Unknown, Apoptosis, DNA Repair, Proteostasis
GO Term: Meiotic Metaphase Chromosome Alignment -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Unknown, Synapse, Proteostasis, Apoptosis
GO Term: Meiotic Cell Cycle -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Regulation Of Oxidoreductase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Autophagy, Unknown
GO Term: Negative Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Positive Regulation Of Hydrolase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Autophagy
GO Term: Negative Regulation Of Hydrolase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Positive Regulation Of Lyase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Positive Regulation Of Ligase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Negative Regulation Of Oxidoreductase Activity -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Apoptosis, Unknown
GO Term: Proprioception Involved In Equilibrioception -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Potassium Ion Starvation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Muscle Alpha-Actinin Binding -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Structural Stabilization
GO Term: Fatz Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Structural Stabilization
GO Term: Mannose-Ethanolamine Phosphotransferase Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Serotonin Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Epinephrine Binding -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Norepinephrine Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Histamine Binding -> Biodomain: Unknown, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Kinetochore Assembly -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Kinetochore Organization -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Response To Glucocorticoid -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Immune Response, Unknown
GO Term: Response To Mineralocorticoid -> Biodomain: Unknown, Synapse, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Trna Acetylation -> Biodomain: RNA Spliceosome, Unknown, Proteostasis, Synapse, Epigenetic
GO Term: Trna Cytidine N4-Acetyltransferase Activity -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Alpha-Actinin Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Nerve Growth Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Bh Domain Binding -> Biodomain: Synapse, Apoptosis, Proteostasis, Oxidative Stress, Unknown
GO Term: Ch Domain Binding -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Stress-Activated Mapk Cascade -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Response To Nitrosative Stress -> Biodomain: Oxidative Stress, Synapse, Proteostasis, Unknown, Apoptosis
GO Term: Detoxification Of Nitrogen Compound -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Autophagy
GO Term: Response To Corticosterone -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Response To Cortisone -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Response To Cortisol -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Microtubule Nucleation By Interphase Microtubule Organizing Center -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Mitochondrial Metabolism
GO Term: Microtubule Nucleation By Microtubule Organizing Center -> Biodomain: Synapse, Proteostasis, Unknown, Apoptosis, Mitochondrial Metabolism
GO Term: Corticotropin-Releasing Hormone Binding -> Biodomain: Synapse, Oxidative Stress, Immune Response, Unknown, Proteostasis
GO Term: Ptb Domain Binding -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Oxidative Stress
GO Term: Hormone Receptor Binding -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Peptide Hormone Receptor Binding -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Corticotropin-Releasing Hormone Receptor Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Corticotropin-Releasing Hormone Receptor 1 Binding -> Biodomain: Synapse, Oxidative Stress, Immune Response, Proteostasis, Unknown
GO Term: Corticotropin-Releasing Hormone Receptor 2 Binding -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Immune Response
GO Term: Bh3 Domain Binding -> Biodomain: Apoptosis, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Negative Regulation Of Ubiquitin-Protein Transferase Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Oxidative Stress, Unknown
GO Term: Regulation Of Meiotic Cell Cycle -> Biodomain: Unknown, Cell Cycle, Synapse, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Meiotic Cell Cycle -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, RNA Spliceosome
GO Term: Negative Regulation Of Meiotic Cell Cycle -> Biodomain: Unknown, Cell Cycle, Epigenetic, Proteostasis, Synapse
GO Term: Myoblast Proliferation -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Mitochondrial Metabolism
GO Term: Myoblast Migration -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Intracellular Ph Reduction -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Regulation Of Intracellular Ph -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Intracellular Ph Elevation -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Spindle Attachment To Meiosis I Kinetochore -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Cell Cycle
GO Term: Maintenance Of Protein Location In Nucleus -> Biodomain: Synapse, Proteostasis, RNA Spliceosome, Unknown, Epigenetic
GO Term: Corticotropin Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Immune Response
GO Term: Regulation Of Corticotropin Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Negative Regulation Of Corticotropin Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Positive Regulation Of Corticotropin Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Immune Response
GO Term: Negative Regulation Of Cortisol Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Positive Regulation Of Cortisol Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Positive Regulation Of Corticotropin-Releasing Hormone Secretion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Immune Response, Unknown
GO Term: Vesicle Fusion With Vacuole -> Biodomain: Endolysosome, Autophagy, Synapse, Proteostasis, Unknown
GO Term: Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Negative Regulation Of Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Regulation Of Filopodium Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Filopodium Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Filopodium Assembly -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Stress Fiber Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Regulation Of Cytoskeleton Organization -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Negative Regulation Of Cytoskeleton Organization -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Positive Regulation Of Cytoskeleton Organization -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Stress Fiber Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: Negative Regulation Of Stress Fiber Assembly -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Unknown
GO Term: D-Aminoacyl-Trna Deacylase Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: D-Tyrosyl-Trna(Tyr) Deacylase Activity -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, RNA Spliceosome
GO Term: Adenine Nucleotide Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Unidimensional Cell Growth -> Biodomain: Synapse, Proteostasis, Apoptosis, Unknown, Oxidative Stress
GO Term: Nfat Protein Binding -> Biodomain: Immune Response, Synapse, Unknown, Proteostasis, Oxidative Stress
GO Term: Iron-Sulfur Cluster Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Synapse, Proteostasis, Unknown
GO Term: 2 Iron, 2 Sulfur Cluster Binding -> Biodomain: Unknown, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Synapse
GO Term: 3 Iron, 4 Sulfur Cluster Binding -> Biodomain: Metal Binding and Homeostasis, Synapse, Proteostasis, Oxidative Stress, Unknown
GO Term: 4 Iron, 4 Sulfur Cluster Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Synapse, Unknown
GO Term: Elastin Metabolic Process -> Biodomain: Unknown, Structural Stabilization, Synapse, Proteostasis, Oxidative Stress
GO Term: Keratinocyte Migration -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Keratinocyte Migration -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Keratinocyte Migration -> Biodomain: Unknown, Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Flavone Metabolic Process -> Biodomain: Unknown, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Mitochondrial Calcium Ion Homeostasis -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Positive Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Unknown
GO Term: Negative Regulation Of Mitochondrial Calcium Ion Concentration -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Smooth Endoplasmic Reticulum Calcium Ion Homeostasis -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Calcium Ion Homeostasis
GO Term: 5'-Deoxyribose-5-Phosphate Lyase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Synapse, Apoptosis, Unknown
GO Term: Regulation Of Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Neurotransmitter Uptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Negative Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Positive Regulation Of Dopamine Uptake Involved In Synaptic Transmission -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Response To Camp -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, RNA Spliceosome
GO Term: Response To Calcium Ion -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Response To Folic Acid -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Epigenetic
GO Term: Response To Methylglyoxal -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Unknown, Apoptosis
GO Term: Response To Methylmercury -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Apoptosis, Unknown
GO Term: Meiotic Recombination Checkpoint Signaling -> Biodomain: Unknown, Synapse, Proteostasis, Apoptosis, DNA Repair
GO Term: Response To Hydrostatic Pressure -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Apoptosis
GO Term: Exocyst Localization -> Biodomain: Synapse, Proteostasis, Unknown, Oxidative Stress, Autophagy
GO Term: Response To Electrical Stimulus -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Unknown, Mitochondrial Metabolism
GO Term: Proteolysis Involved In Protein Catabolic Process -> Biodomain: Proteostasis, Synapse, Apoptosis, Oxidative Stress, Unknown
